mjd				rv(m/s)			error(m/s)
4.309174000001512468e+02 -1.132611690817896477e+00 9.109800238024725605e-01
4.309301999998278916e+02 4.919207376475397631e+00 9.415736247829942229e-01
4.317813300001434982e+02 3.942274800579953498e-01 8.702855374820188672e-01
4.318144600000232458e+02 3.117546566586405721e+00 1.098716267193633467e+00
4.317911999998614192e+02 -1.376447240488591017e+00 7.958459656887055811e-01
4.328828400000929832e+02 6.177427333404145182e-02 8.272919428562607314e-01
4.328741799998097122e+02 1.701806788133625403e+00 1.053298107385800986e+00
4.328639500001445413e+02 -3.895931492321996759e-01 8.782726976991803713e-01
4.338525100001133978e+02 -7.493489049737848129e-01 1.192282487692181148e+00
4.338313199998810887e+02 2.142705960994651715e+00 9.407078335801292157e-01
4.338425799999386072e+02 3.206763854099063060e+00 8.718781409824691853e-01
4.347863400001078844e+02 1.858417789510191376e-01 1.040421100339360194e+00
4.347958100000396371e+02 4.371593331293005535e-01 9.645591615164456067e-01
4.347751600001938641e+02 3.922458211734639821e+00 1.103351454180024671e+00
4.357601999999023974e+02 2.302116563874664124e+00 7.579024698801537507e-01
4.387683199997991323e+02 9.049125318254078731e-01 9.854666855090737920e-01
4.387472799997776747e+02 -3.128803103454831369e+00 9.781474099399087851e-01
4.387575599998235703e+02 5.385830440565855248e+00 9.286739845811358141e-01
4.397309400001540780e+02 -4.463117134409959164e+00 1.204685503068008590e+00
4.397198800002224743e+02 3.008797624767614032e+00 9.089602927477065109e-01
4.397401999998837709e+02 -2.228971168709925621e+00 1.129391872933094509e+00
