BJD - 2454833,Corrected Flux,error
2560.703105338, 0.988398653,
2560.743969704, 0.988057916,
2560.764402036, 0.987899703,
2560.784834168, 0.988071307,
2560.805266398, 0.988264608,
2560.825698729, 0.988112674,
2560.846130858, 0.987898038,
2560.866563088, 0.987862143,
2560.886995416, 0.988030915,
2560.907427544, 0.988049600,
2560.927859772, 0.988031948,
2560.948292099, 0.987987245,
2561.009588776, 0.987141665,
2561.030021001, 0.986975356,
2561.050453125, 0.986865240,
2561.070885448, 0.987173497,
2561.091317671, 0.987447696,
2561.111749794, 0.987387253,
2561.132182115, 0.987403385,
2561.152614237, 0.987467567,
2561.173046558, 0.987350922,
2561.193478777, 0.987593866,
2561.234343216, 0.986192953,
2561.254775434, 0.986180012,
2561.275207552, 0.986773692,
2561.295639870, 0.987234932,
2561.316072087, 0.987254175,
2561.336504203, 0.987215994,
2561.356936518, 0.987258313,
2561.377368734, 0.987076113,
2561.397800948, 0.987180256,
2561.418233162, 0.987454279,
2561.438665376, 0.987558601,
2561.479529801, 0.986966057,
2561.499962012, 0.986902116,
2561.520394224, 0.986932442,
2561.540826534, 0.987134213,
2561.561258644, 0.987432695,
2561.581690854, 0.987420084,
2561.602123163, 0.987405220,
2561.622555271, 0.987364483,
2561.642987479, 0.987523397,
2561.663419786, 0.987516957,
2561.683851893, 0.987806381,
2561.724716405, 0.986948991,
2561.745148509, 0.987394360,
2561.765580814, 0.987474264,
2561.786013018, 0.987686030,
2561.806445121, 0.987644765,
2561.826877424, 0.987772429,
2561.847309626, 0.987654410,
2561.867741828, 0.987485072,
2561.888174029, 0.987960209,
2561.908606229, 0.988057590,
2561.929038330, 0.987830607,
2561.969902828, 0.987227249,
2561.990334926, 0.987011662,
2562.010767224, 0.986957838,
2562.031199421, 0.987168858,
2562.051631518, 0.987337109,
2562.072063814, 0.987149183,
2562.092496009, 0.987299357,
2562.112928105, 0.987403393,
2562.133360399, 0.987542633,
2562.153792593, 0.987545796,
2562.174224686, 0.987746096,
2562.215089171, 0.987817423,
2562.235521363, 0.987936144,
2562.255953554, 0.987527225,
2562.276385744, 0.988037146,
2562.296817934, 0.988263500,
2562.317250124, 0.988145047,
2562.337682313, 0.987710812,
2562.358114501, 0.987783955,
2562.378546789, 0.987842235,
2562.398978876, 0.988107830,
2562.419411063, 0.987750069,
2562.460275435, 0.987547127,
2562.480707720, 0.987536208,
2562.501139904, 0.987433268,
2562.521571988, 0.987416750,
2562.542004272, 0.987421792,
2562.562436454, 0.987383065,
2562.582868537, 0.987322704,
2562.603300818, 0.987512469,
2562.623733000, 0.987570691,
2562.644165080, 0.987557831,
2562.664597360, 0.987079178,
2562.705461619, 0.987220567,
2562.725893897, 0.987487727,
2562.746326075, 0.987443730,
2562.766758153, 0.987616253,
2562.787190429, 0.987231657,
2562.807622606, 0.987233875,
2562.828054681, 0.987267959,
2562.848486956, 0.987119888,
2562.868919131, 0.987222194,
2562.889351205, 0.987237216,
2562.909783478, 0.986915807,
2562.950647724, 0.987996425,
2562.971079995, 0.987655926,
2562.991512167, 0.987585047,
2563.011944238, 0.987627398,
2563.032376508, 0.987559837,
2563.052808678, 0.987362340,
2563.073240847, 0.987290608,
2563.093673015, 0.987211710,
2563.114105183, 0.987040642,
2563.134537350, 0.987059408,
2563.154969518, 0.987514049,
2563.195833950, 0.987899991,
2563.216266115, 0.987701012,
2563.236698180, 0.987664982,
2563.257130444, 0.987491189,
2563.277562607, 0.987511487,
2563.297994670, 0.987853820,
2563.318426933, 0.987465037,
2563.338859095, 0.987193307,
2563.359291157, 0.987346282,
2563.379723418, 0.987141417,
2563.400155478, 0.987149138,
2563.441019897, 0.987392600,
2563.461451956, 0.987529295,
2563.481884114, 0.987526611,
2563.502316372, 0.987136421,
2563.522748429, 0.987085165,
2563.543180586, 0.987223884,
2563.563612842, 0.987120712,
2563.584044997, 0.987001518,
2563.604477052, 0.986803378,
2563.624909306, 0.986780898,
2563.645341460, 0.986841218,
2563.686205766, 0.987302097,
2563.706637919, 0.987339460,
2563.727069970, 0.987308527,
2563.747502221, 0.987379611,
2563.767934372, 0.987706847,
2563.788366422, 0.987523204,
2563.808798671, 0.987407804,
2563.829230820, 0.987116541,
2563.849662869, 0.986808077,
2563.870095117, 0.986800308,
2563.890527264, 0.986634683,
2563.931391558, 0.987166740,
2563.951823703, 0.987138609,
2563.972255849, 0.987022651,
2563.992687993, 0.986780444,
2564.013120137, 0.986911253,
2564.033552381, 0.986721580,
2564.053984524, 0.987047278,
2564.074416567, 0.986630649,
2564.094848809, 0.986980189,
2564.115280850, 0.986837832,
2564.135712991, 0.986740052,
2564.176577271, 0.987285394,
2564.197009410, 0.987299730,
2564.217441649, 0.987232023,
2564.237873687, 0.987157064,
2564.258305825, 0.987232327,
2564.278738062, 0.987466187,
2564.299170099, 0.987468134,
2564.319602235, 0.987220448,
2564.340034470, 0.987021825,
2564.360466505, 0.986799106,
2564.380898640, 0.987230620,
2564.421763007, 0.987104389,
2564.442195040, 0.987203393,
2564.462627273, 0.987316530,
2564.483059404, 0.987960883,
2564.503491436, 0.988043484,
2564.523923666, 0.987871173,
2564.544355796, 0.987701030,
2564.564787826, 0.987615153,
2564.585220055, 0.987301698,
2564.605652184, 0.987507129,
2564.626084212, 0.987413718,
2564.666948567, 0.987574980,
2564.687380593, 0.987572782,
2564.707812819, 0.987460776,
2564.728244944, 0.987560426,
2564.748677069, 0.987573729,
2564.769109193, 0.987501117,
2564.789541317, 0.987083555,
2564.809973441, 0.986882560,
2564.830405563, 0.986687440,
2564.850837685, 0.986914882,
2564.871269907, 0.987646364,
2564.932566169, 0.988500491,
2564.952998288, 0.988682062,
2564.973430408, 0.988576109,
2564.993862626, 0.988685242,
2565.014294644, 0.988738802,
2565.034726761, 0.988748077,
2565.055158978, 0.988537184,
2565.075590995, 0.988321275,
2565.096023111, 0.988264021,
2565.116455326, 0.987636820,
2565.157319455, 0.987129382,
2565.177751669, 0.987455355,
2565.198183682, 0.987336171,
2565.218615795, 0.987538570,
2565.239048007, 0.987382910,
2565.259480119, 0.987194610,
2565.279912129, 0.987201408,
2565.300344340, 0.986941753,
2565.320776450, 0.986967881,
2565.341208460, 0.987288698,
2565.361640669, 0.987291302,
2565.402504785, 0.987334663,
2565.422936993, 0.986809498,
2565.443369100, 0.987086967,
2565.463801106, 0.987362049,
2565.484233312, 0.987109665,
2565.504665417, 0.987360191,
2565.525097422, 0.987387007,
2565.545529626, 0.987451618,
2565.565961730, 0.987250361,
2565.586393833, 0.987322403,
2565.606825936, 0.987502851,
2565.647690139, 0.987179650,
2565.668122241, 0.987187165,
2565.688554341, 0.987203412,
2565.708986542, 0.987372078,
2565.729418541, 0.987599175,
2565.749850640, 0.986936845,
2565.770282739, 0.987595748,
2565.790714836, 0.987374571,
2565.811146934, 0.987509445,
2565.831579131, 0.987411120,
2565.852011127, 0.987683062,
2565.892875418, 0.987295960,
2565.913307413, 0.987468620,
2565.933739508, 0.987126500,
2565.954171701, 0.987152773,
2565.974603695, 0.987031446,
2565.995035788, 0.987427409,
2566.015467980, 0.987386510,
2566.035899971, 0.987850611,
2566.056332063, 0.987486099,
2566.076764254, 0.987308980,
2566.097196343, 0.987334299,
2566.138060522, 0.987181273,
2566.158492611, 0.987119911,
2566.178924599, 0.987135426,
2566.199356787, 0.987309732,
2566.219788874, 0.987471318,
2566.240220860, 0.987816659,
2566.260653046, 0.987771865,
2566.281085132, 0.987664756,
2566.301517116, 0.987721425,
2566.321949301, 0.987386940,
2566.342381385, 0.987468930,
2566.383245551, 0.987618393,
2566.403677634, 0.987368022,
2566.424109716, 0.987621062,
2566.444541797, 0.987984364,
2566.464973878, 0.988030508,
2566.485405858, 0.987684446,
2566.505838038, 0.987727964,
2566.526270117, 0.987473087,
2566.546702196, 0.986769024,
2566.567134274, 0.986946557,
2566.587566352, 0.987174436,
2566.628430506, 0.987248458,
2566.648862582, 0.987326875,
2566.669294758, 0.986913408,
2566.689726733, 0.986741253,
2566.710158808, 0.986437234,
2566.730590982, 0.986624197,
2566.751022955, 0.986702383,
2566.771455028, 0.986646832,
2566.791887201, 0.986740249,
2566.812319173, 0.986745489,
2566.832751245, 0.986951336,
2566.894047456, 0.987965533,
2566.914479626, 0.987895841,
2566.934911695, 0.987643245,
2566.955343664, 0.988040562,
2566.975775832, 0.988027664,
2566.996207899, 0.987600662,
2567.016639866, 0.988051692,
2567.037072033, 0.987721193,
2567.057504098, 0.987450722,
2567.077936064, 0.987821359,
2567.118800293, 0.987612355,
2567.139232257, 0.987198634,
2567.159664420, 0.987277874,
2567.180096483, 0.987367989,
2567.200528446, 0.986999563,
2567.220960608, 0.986882715,
2567.241392569, 0.987135347,
2567.261824730, 0.986908190,
2567.282256790, 0.987091776,
2567.302688750, 0.987194780,
2567.323120809, 0.987140828,
2567.363985027, 0.987466397,
2567.384416984, 0.987280961,
2567.404849142, 0.987272900,
2567.425281198, 0.986939223,
2567.445713255, 0.986847391,
2567.466145311, 0.986701544,
2567.486577366, 0.986975881,
2567.507009520, 0.986875465,
2567.527441475, 0.986951358,
2567.547873528, 0.987125662,
2567.568305682, 0.987296192,
2567.609169687, 0.987040998,
2567.629601838, 0.986893190,
2567.650033790, 0.986981263,
2567.670465840, 0.987227044,
2567.690897991, 0.987006733,
2567.711329941, 0.986925423,
2567.731761989, 0.987198696,
2567.752194138, 0.987140367,
2567.772626187, 0.986803347,
2567.793058134, 0.986494663,
2567.813490281, 0.986576805,
2567.833922328, 0.987215895,
2567.854354274, 0.987315353,
2567.874786420, 0.986845311,
2567.895218465, 0.986872800,
2567.915650410, 0.987004301,
2567.936082554, 0.986936967,
2567.956514598, 0.986576906,
2567.976946541, 0.986731816,
2567.997378683, 0.986898182,
2568.017810726, 0.987227698,
2568.038242667, 0.986870876,
2568.058674808, 0.987103291,
2568.099538789, 0.986859794,
2568.119970929, 0.987051759,
2568.140402868, 0.986928871,
2568.160834906, 0.986627102,
2568.181267045, 0.986882741,
2568.201699082, 0.986849573,
2568.222131020, 0.986694910,
2568.242563156, 0.986760752,
2568.262995193, 0.986988450,
2568.283427128, 0.986871757,
2568.303859263, 0.987076441,
2568.344723432, 0.986891382,
2568.365155366, 0.987112561,
2568.385587399, 0.986553955,
2568.406019531, 0.986731370,
2568.426451464, 0.986887782,
2568.446883495, 0.986668215,
2568.467315626, 0.986515959,
2568.487747557, 0.987057886,
2568.508179587, 0.986634396,
2568.528611717, 0.986766670,
2568.549043647, 0.986529078,
2568.589907803, 0.986582533,
2568.610339831, 0.986863052,
2568.630771758, 0.986455247,
2568.651203885, 0.986420472,
2568.671635911, 0.986773100,
2568.692067837, 0.986783001,
2568.712499962, 0.987334290,
2568.732931987, 0.987093008,
2568.753363911, 0.986957249,
2568.773796035, 0.987059594,
2568.794228058, 0.986838421,
2568.835092103, 0.987167750,
2568.855524025, 0.987867966,
2568.875956046, 0.988002586,
2568.896388167, 0.988053549,
2568.916820087, 0.987933623,
2568.937252107, 0.987830042,
2568.957684226, 0.987652073,
2568.978116145, 0.987469186,
2568.998548163, 0.987426897,
2569.018980281, 0.987334934,
2569.039412299, 0.987514363,
2569.080276332, 0.986550388,
2569.100708347, 0.986602041,
2569.121140263, 0.987007363,
2569.141572378, 0.986662266,
2569.162004392, 0.986607126,
2569.182436506, 0.987036761,
2569.202868419, 0.987155574,
2569.223300433, 0.987071138,
2569.243732545, 0.986733923,
2569.264164457, 0.986541148,
2569.284596468, 0.986788934,
2569.325460490, 0.987204989,
2569.407188526, 0.986388778,
2569.427620635, 0.986756883,
2569.448052642, 0.986567814,
2569.468484549, 0.986466992,
2569.488916656, 0.987178464,
2569.509348662, 0.987729478,
2569.529780567, 0.987703007,
2569.550212672, 0.987683548,
2569.570644577, 0.987611527,
2569.591076581, 0.987236688,
2569.611508685, 0.987450960,
2569.631940588, 0.987167248,
2569.652372591, 0.987500329,
2569.672804693, 0.987194531,
2569.693236595, 0.986870903,
2569.713668596, 0.987014030,
2569.734100697, 0.987563140,
2569.754532597, 0.987778461,
2569.774964597, 0.987397998,
2569.815828595, 0.987136350,
2569.836260593, 0.987202230,
2569.856692691, 0.987398807,
2569.877124688, 0.987185921,
2569.897556585, 0.987331756,
2569.917988682, 0.987291061,
2569.938420677, 0.987124740,
2569.958852573, 0.987236785,
2569.979284668, 0.987378269,
2569.999716662, 0.987145085,
2570.020148756, 0.987452872,
2570.061012643, 0.986969678,
2570.081444735, 0.987318586,
2570.101876627, 0.987430279,
2570.122308619, 0.987331541,
2570.142740710, 0.987114913,
2570.163172600, 0.987179674,
2570.183604591, 0.987460728,
2570.204036680, 0.987493715,
2570.224468570, 0.987676649,
2570.244900558, 0.987656607,
2570.265332646, 0.987550758,
2570.306196521, 0.987434273,
2570.326628508, 0.987355965,
2570.347060494, 0.987391186,
