BJD - 2457000,PDC_SAP flux,error,Quality Flag
1410.906005,nan,nan,8
1410.907394,11101463,359.5048,0
1410.908783,11101742,359.49884,0
1410.910172,11101822,359.51477,0
1410.911561,11099731,359.46695,0
1410.91295,11099791,359.4878,0
1410.914339,11103157,359.54498,0
1410.915728,11098018,359.44006,0
1410.917117,11101865,359.5058,0
1410.918506,11103040,359.5363,0
1410.919895,11098547,359.4441,0
1410.921284,11102451,359.49036,0
1410.922673,11101304,359.4862,0
1410.924061,11103325,359.50903,0
1410.92545,11100084,359.46793,0
1410.926839,11100529,359.4623,0
1410.928228,11100998,359.475,0
1410.929617,11103077,359.51413,0
1410.931006,11100475,359.45355,0
1410.932395,11101261,359.47263,0
1410.933784,11104240,359.52026,0
1410.935173,11101813,359.47943,0
1410.936562,11104108,359.48712,0
1410.937951,11102333,359.47504,0
1410.93934,11103147,359.48596,0
1410.940729,11103506,359.50497,0
1410.942118,11104919,359.52408,0
1410.943507,11102884,359.48047,0
1410.944896,11103523,359.49127,0
1410.946285,11103134,359.47653,0
1410.947673,11107222,359.55103,0
1410.949062,11100306,359.43405,0
1410.950451,11104007,359.46564,0
1410.95184,11108411,359.55328,0
1410.953229,11106513,359.5319,0
1410.954618,11103695,359.4415,0
1410.956007,11105335,359.5043,0
1410.957396,11105132,359.51108,0
1410.958785,11104391,359.4725,0
1410.960174,11108574,359.55148,0
1410.961563,11105118,359.48807,0
1410.962952,11104933,359.47922,0
1410.964341,nan,nan,128
1410.96573,11105992,359.48856,0
1410.967119,11105042,359.464,0
1410.968508,11105286,359.47763,0
1410.969897,11105046,359.46008,0
1410.971285,11153376,359.50208,512
1410.972674,nan,nan,128
1410.974063,nan,nan,128
1410.975452,nan,nan,128
1410.976841,nan,nan,128
1410.97823,nan,nan,128
1410.979619,11108916,359.40298,0
1410.981008,nan,nan,128
1410.982397,nan,nan,128
1410.983786,11108749,359.40546,0
1410.985175,11089828,359.43393,512
1410.986564,11108319,359.51108,0
1410.987953,11102870,359.39667,0
1410.989342,11108913,359.53027,0
1410.990731,11106441,359.46716,0
1410.99212,11113655,359.55838,0
1410.993509,11102975,359.40106,0
1410.994897,11103848,359.4135,0
1410.996286,11111005,359.52002,0
1410.997675,11104096,359.4048,0
1410.999064,nan,nan,128
1411.000453,nan,nan,128
1411.001842,11151988,359.43436,512
1411.003231,nan,nan,128
1411.00462,nan,nan,128
1411.006009,11109648,359.50446,0
1411.007398,11130572,359.44055,512
1411.008787,11102632,359.39658,0
1411.010176,11106644,359.4576,0
1411.011565,11107172,359.47885,0
1411.012954,11108207,359.49268,0
1411.014343,11107636,359.47855,0
1411.015732,11108688,359.4952,0
1411.017121,11108435,359.46118,0
1411.018509,11106567,359.44293,0
1411.019898,11107533,359.4981,0
1411.021287,11109284,359.49628,0
1411.022676,11106866,359.48087,0
1411.024065,11107107,359.4811,0
1411.025454,11108119,359.4501,0
1411.026843,11106629,359.45676,0
1411.028232,11106764,359.47086,0
1411.029621,11108561,359.49384,0
1411.03101,11108956,359.52017,0
1411.032399,11107813,359.448,0
1411.033788,11114414,359.57816,0
1411.035177,11107384,359.44016,0
1411.036566,11128549,359.45117,512
1411.037955,11107592,359.4661,0
1411.039344,11105905,359.43872,0
1411.040733,11110519,359.51096,0
1411.042121,11106971,359.46213,0
1411.04351,11111061,359.53912,0
1411.044899,11104404,359.37137,0
1411.046288,11104304,359.4167,0
1411.047677,11107283,359.47025,0
1411.049066,11107733,359.4665,0
1411.050455,11107855,359.4881,0
1411.051844,nan,nan,128
1411.053233,11108281,359.49622,0
1411.054622,11108406,359.45996,0
1411.056011,11106426,359.4194,0
1411.0574,11119768,359.49057,512
