time, flux, empty
3264.143681039, 0.998975397,
3264.164116451, 0.998660941,
3264.184552064, 0.998310827,
3264.204987576, 0.998906053,
3264.225422989, 0.999360238,
3264.245858603, 0.999351824,
3264.266294116, 0.998572155,
3264.286729630, 0.998383478,
3264.307165144, 0.998501306,
3264.327600659, 0.998539273,
3264.348036173, 0.998417957,
3264.388907203, 0.998399185,
3264.409342719, 0.998342086,
3264.429778234, 0.998403555,
3264.450213750, 0.998578203,
3264.552391334, 0.998435983,
3264.572826851, 0.998393840,
3264.593262469, 0.998362939,
3264.613697887, 0.998466891,
3264.634133505, 0.998335216,
3264.654569024, 0.998335625,
3264.675004443, 0.998349214,
3264.695440062, 0.998449652,
3264.715875581, 0.998452036,
3264.736311000, 0.998533510,
3264.756746620, 0.998502483,
3264.777182140, 0.998483506,
3264.797617561, 0.998484318,
3264.818053181, 0.998532080,
3264.838488702, 0.998581026,
3264.879359744, 0.998609029,
3264.899795266, 0.998670211,
3264.920230888, 0.998717380,
3264.940666410, 0.998728633,
3264.981537455, 0.998710521,
3265.001972977, 0.998710386,
3265.022408401, 0.998629513,
3265.042844024, 0.998574598,
3265.063279447, 0.998609298,
3265.083714971, 0.998821594,
3265.124586020, 0.998872415,
3265.145021644, 0.998828543,
3265.165457169, 0.998861105,
3265.185892594, 0.998824330,
3265.206328219, 0.998895885,
3265.226763745, 0.998926371,
3265.247199171, 0.999107249,
3265.267634797, 0.999065817,
3265.288070323, 0.999087525,
3265.308505750, 0.999018683,
3265.328941377, 0.999067843,
3265.369812531, 0.999298889,
3265.451554543, 0.999420866,
3265.471990072, 0.999422318,
3265.492425700, 0.999523721,
3265.512861230, 0.999535594,
3265.533296659, 0.999683759,
3265.553732288, 0.999709745,
3265.574167818, 0.999635054,
3265.615038879, 0.999714788,
3265.635474409, 0.999872127,
3265.655909940, 0.999825526,
3265.676345471, 0.999870007,
3265.696781002, 0.999856700,
3265.717216634, 0.999892302,
3265.758087598, 1.000015794,
3265.778523130, 1.000043810,
3265.798958662, 1.000231518,
3265.819394295, 1.000181898,
3265.860265261, 1.000870401,
3265.880700895, 1.000916061,
3265.901136329, 1.000569662,
3265.921571862, 1.000274220,
3265.942007497, 1.000343355,
3265.962442931, 1.000462699,
3265.982878466, 1.000483397,
3266.003314101, 1.000507173,
3266.023749636, 1.000517417,
3266.044185171, 1.000532723,
3266.064620707, 1.000560805,
3266.085056243, 1.000552419,
3266.105491779, 1.000554943,
3266.125927316, 1.000679797,
3266.146362852, 1.000684089,
