BJD - 2454833, Corrected Flux
3420.221574545, 0.998196023,
3420.242006817, 0.998484994,
3420.262438989, 0.998336940,
3420.282871060, 0.998294031,
3420.303303331, 0.998157155,
3420.323735501, 0.998271224,
3420.344167571, 0.998327120,
3420.364599841, 0.998154944,
3420.385032010, 0.998218201,
3420.405464078, 0.998301519,
3420.425896346, 0.997853145,
3420.487192847, 0.998102972,
3420.507625014, 0.998320232,
3420.528057179, 0.998418427,
3420.548489344, 0.999172329,
3420.568921509, 0.998881142,
3420.589353673, 0.999871296,
3420.609785837, 0.999022447,
3420.630218000, 0.999229020,
3420.650650063, 0.998842519,
3420.671082326, 0.997464210,
3420.691514487, 0.997657877,
3420.711946749, 0.998096799,
3420.732378810, 0.997808562,
3420.752810970, 0.997559789,
3420.773243230, 0.997687135,
3420.793675290, 0.997603795,
3420.814107449, 0.997688992,
3420.834539708, 0.997665348,
3420.854971765, 0.997677822,
3420.875403923, 0.997609308,
3420.895836180, 0.997570756,
3420.916268237, 0.997830906,
3420.957132649, 0.997300474,
3420.977564805, 0.997743119,
3420.997996859, 0.997547387,
3421.018429114, 0.997858016,
3421.038861267, 0.998215953,
3421.059293321, 0.998214322,
3421.079725574, 0.999209080,
3421.100157726, 0.998483861,
3421.120589779, 0.998006442,
3421.141022030, 0.998406805,
3421.161454181, 0.998554397,
3421.181886232, 0.997116895,
3421.202318482, 0.997264725,
3421.222750632, 0.997849758,
3421.243182681, 0.997519562,
3421.263614930, 0.997466337,
3421.284047078, 0.997391331,
3421.304479226, 0.997402987,
3421.324911373, 0.997467027,
3421.345343520, 0.997348877,
3421.365775567, 0.997245705,
3421.386207812, 0.997293006,
3421.406639958, 0.997462056,
3421.447504248, 0.998006787,
3421.467936392, 0.997539344,
3421.488369336, 0.998448935,
3421.508801579, 0.997344933,
3421.529233721, 0.996937940,
3421.549665764, 0.996816324,
3421.570098006, 0.997504543,
3421.590530147, 0.997271019,
3421.610962388, 0.997138020,
3421.631394428, 0.996965972,
3421.651826568, 0.997090235,
3421.672258808, 0.997029251,
3421.692690847, 0.996926143,
3421.713122985, 0.997014787,
3421.733555223, 0.997003745,
3421.753987261, 0.996804225,
3421.774419398, 0.996900237,
3421.794851635, 0.996914452,
3421.815283772, 0.996830819,
3421.835715807, 0.996885417,
3421.856148042, 0.997008725,
3421.876580178, 0.997008260,
3421.897012212, 0.996916553,
3421.937876579, 0.994884107,
3421.958308613, 0.996156073,
3421.978740845, 0.997455093,
3421.999172977, 0.998260914,
3422.019605009, 0.997588314,
3422.040037240, 0.996959396,
3422.060469371, 0.996386970,
3422.080901401, 0.996004475,
3422.101333631, 0.996619873,
3422.121765761, 0.996498963,
3422.142197890, 0.996774289,
3422.162630018, 0.996618074,
3422.183062146, 0.997115089,
3422.203494274, 0.997032647,
3422.223926401, 0.996505892,
3422.244358527, 0.997483021,
3422.264790654, 0.997309771,
3422.285222779, 0.996343346,
3422.305654905, 0.996344232,
3422.326086929, 0.996773753,
3422.346519154, 0.996760249,
3422.366951278, 0.996608580,
3422.387383301, 0.996563615,
3422.448679669, 0.996744922,
3422.469111890, 0.996824009,
3422.489544012, 0.996960364,
3422.509976132, 0.997261934,
3422.530408253, 0.997403896,
3422.550840373, 0.997322898,
3422.571272492, 0.996543868,
3422.591704611, 0.996071139,
3422.612136729, 0.996364905,
3422.632568847, 0.997255390,
3422.653001065, 0.997778790,
3422.673433082, 0.997561981,
3422.693865199, 0.996944336,
3422.714297415, 0.996449931,
3422.734729431, 0.996502264,
3422.755161646, 0.996567210,
3422.775593761, 0.996961261,
3422.796025775, 0.997251344,
3422.816457989, 0.997330340,
3422.836890103, 0.997303253,
3422.857322116, 0.997342065,
3422.877754329, 0.997269091,
3422.898186440, 0.997157914,
3422.918618452, 0.997114494,
3422.939050663, 0.997183774,
3422.959482774, 0.997221726,
3422.979914885, 0.997150669,
3423.000346994, 0.997219016,
3423.020779104, 0.997258532,
3423.041211113, 0.997359077,
3423.061643322, 0.997358709,
3423.082075430, 0.997400066,
3423.102507437, 0.997310302,
3423.122939645, 0.997381864,
3423.163803758, 0.997321098,
3423.184235964, 0.997610960,
3423.204668069, 0.997595692,
3423.225100074, 0.997630160,
3423.245532279, 0.997459197,
3423.265964383, 0.997534314,
3423.286396386, 0.997518742,
3423.306828590, 0.997484407,
3423.327260693, 0.997603475,
3423.347692795, 0.997640069,
3423.368124896, 0.997592148,
3423.388556998, 0.997671834,
3423.408989099, 0.997635315,
3423.429421200, 0.997695606,
3423.449853300, 0.997842148,
3423.470285399, 0.997822891,
3423.490717599, 0.997790804,
3423.511149597, 0.997881432,
3423.531581695, 0.997753431,
3423.552013893, 0.997727793,
3423.572445891, 0.997858362,
3423.592877988, 0.997902440,
3423.613310184, 0.997804690,
3423.654174276, 0.997784062,
3423.674606471, 0.997835648,
3423.695038466, 0.997869006,
3423.715470561, 0.997848087,
3423.735902754, 0.997940693,
3423.756334748, 0.998006075,
3423.776766841, 0.997848969,
3423.797199033, 0.998040223,
3423.817631125, 0.998033473,
3423.838063117, 0.997977118,
3423.858495308, 0.998030207,
3423.899359389, 0.997400539,
3423.919791579, 0.997059648,
3423.940223569, 0.996844273,
3423.960655658, 0.997403785,
3423.981087846, 0.998213343,
3424.001519834, 0.998575941,
3424.021952022, 0.998693155,
3424.042384109, 0.998378226,
3424.062816097, 0.998688964,
3424.083248283, 0.998552657,
3424.103680369, 0.998014635,
3424.124112354, 0.997834231,
3424.144544539, 0.997797523,
3424.164976624, 0.997984987,
3424.185408708, 0.997951241,
3424.205840792, 0.997928256,
3424.226272875, 0.998047111,
3424.246704958, 0.997921092,
3424.267137041, 0.998013694,
3424.287569123, 0.998007002,
3424.308001204, 0.998005346,
3424.328433386, 0.998450695,
3424.348865366, 0.998771174,
3424.389729626, 0.998842027,
3424.410161605, 0.998710559,
3424.430593685, 0.998528771,
3424.451025863, 0.998549649,
3424.471457841, 0.998209924,
3424.491889919, 0.997962312,
3424.512322096, 0.997209850,
3424.532754073, 0.997525047,
3424.553186149, 0.997375221,
3424.573618325, 0.997426796,
3424.594050301, 0.997115111,
3424.614482376, 0.997789754,
3424.634914450, 0.997590112,
3424.655346625, 0.997299952,
3424.675778599, 0.997564472,
3424.696210672, 0.997774823,
3424.716642745, 0.997804309,
3424.737074817, 0.998178514,
3424.757506989, 0.998657250,
3424.777938961, 0.999015627,
3424.798371032, 0.999254123,
3424.818803203, 0.999103873,
3424.839235173, 0.998664940,
3424.859667243, 0.998839138,
3424.880099412, 0.998721579,
3424.900531381, 0.998816977,
3424.920963450, 0.999406492,
3424.941395618, 0.999859095,
3424.961827586, 0.999773293,
3424.982259653, 0.999564989,
3425.002691820, 0.999233711,
3425.023123886, 0.998833118,
3425.043555852, 0.998865587,
3425.063988018, 0.999167684,
3425.084420083, 0.999571495,
3425.104852048, 0.999434964,
3425.125284212, 0.999265022,
3425.145716276, 0.998755778,
3425.166148239, 0.998548498,
3425.186580403, 0.999046218,
3425.207012465, 0.999079904,
3425.227444427, 0.998656909,
3425.247876589, 0.999306846,
3425.268308650, 0.999434584,
3425.288740811, 0.999109252,
3425.309172771, 0.999070783,
3425.329604831, 0.999069887,
3425.350036991, 0.999061915,
3425.370468950, 0.998998467,
3425.390901009, 0.999212576,
3425.411333167, 0.999068691,
3425.431765125, 0.998704219,
3425.452197182, 0.998316002,
3425.472629240, 0.998353939,
3425.493061296, 0.998936745,
3425.513493352, 0.998505811,
3425.533925408, 0.998619029,
3425.554357464, 0.998591032,
3425.574789519, 0.998142530,
3425.615653627, 0.998455374,
3425.636085681, 0.998258361,
3425.656517834, 0.998672279,
3425.676949787, 0.998698683,
3425.697381839, 0.998434156,
3425.717813991, 0.997604268,
3425.738245943, 0.997019178,
3425.758677993, 0.997034184,
3425.779110144, 0.996754620,
3425.799542094, 0.996688836,
3425.819974144, 0.996900945,
3425.840406294, 0.996763375,
3425.860838343, 0.997077995,
3425.881270291, 0.997212599,
3425.901702439, 0.997469007,
3425.922134487, 0.997734005,
3425.942566435, 0.997576666,
3425.962998581, 0.997401291,
3425.983430628, 0.997286677,
3426.003862574, 0.997198824,
3426.024294720, 0.997138350,
3426.044726765, 0.997175632,
3426.065158709, 0.997494796,
3426.085590854, 0.997536883,
3426.106022898, 0.997406524,
