BJD - 2454833,Corrected Flux,error
2468.486743357, 1.000683078,
2468.507175669, 1.000622084,
2468.527608180, 1.000651847,
2468.548040590, 1.000840785,
2468.568473100, 1.000795475,
2468.588905410, 1.000740846,
2468.609337818, 1.000685142,
2468.629770327, 1.000702229,
2468.691067549, 1.000588402,
2468.711499855, 1.000643603,
2468.731932260, 1.000642309,
2468.752364765, 1.000676526,
2468.772797070, 1.000684514,
2468.793229474, 1.000772728,
2468.813661977, 1.000815692,
2468.834094280, 1.000660708,
2468.854526683, 1.000646374,
2468.874959184, 1.000656153,
2468.895391485, 1.000654200,
2468.936256386, 1.000590069,
2468.956688686, 1.000708812,
2468.977121185, 1.000658659,
2468.997553584, 1.000567876,
2469.017985882, 1.000566322,
2469.038418379, 1.000597584,
2469.058850776, 1.000548337,
2469.079283073, 1.000605670,
2469.099715568, 1.000615946,
2469.120147964, 1.000503134,
2469.140580259, 1.000472045,
2469.181445147, 1.000576473,
2469.201877540, 1.000517128,
2469.222309933, 1.000533822,
2469.242742325, 1.000585529,
2469.263174816, 1.000587882,
2469.283607107, 1.000538651,
2469.304039498, 1.000514095,
2469.324471987, 1.000475064,
2469.344904377, 1.000453394,
2469.365336666, 1.000440290,
2469.385769154, 1.000449592,
2469.426633829, 1.000520773,
2469.447066316, 1.000477777,
2469.467498702, 1.000420987,
2469.487930988, 1.000498930,
2469.508363473, 1.000507814,
2469.528795857, 1.000441321,
2469.549228141, 1.000492288,
2469.569660625, 1.000444542,
2469.590092907, 1.000415205,
2469.610525390, 1.000419477,
2469.630957772, 1.000434028,
2469.671822534, 1.000538518,
2469.692254914, 1.000433773,
2469.712687294, 1.000456492,
2469.733119673, 1.000526275,
2469.753552052, 1.000430320,
2469.773984430, 1.000404202,
2469.794416808, 1.000423627,
2469.814849185, 1.000421344,
2469.835281561, 1.000402895,
2469.855714037, 1.000411599,
2469.876146313, 1.000397790,
2469.917011162, 1.000406540,
2469.937443436, 1.000351718,
2469.957875809, 1.000420892,
2469.978308282, 1.000384431,
2469.998740554, 1.000365790,
2470.019173026, 1.000395857,
2470.039605397, 1.000433737,
2470.060037668, 1.000373161,
2470.080470138, 1.000408333,
2470.100902507, 1.000388916,
2470.121334776, 1.000423356,
2470.162199613, 1.000394004,
2470.182631980, 1.000331759,
2470.203064347, 1.000382841,
2470.223496713, 1.000379685,
2470.243929079, 1.000349240,
2470.264361445, 1.000405019,
2470.284793809, 1.000465175,
2470.305226073, 1.000392783,
2470.325658537, 1.000423268,
2470.346090900, 1.000361748,
2470.366523163, 1.000438048,
2470.407387987, 1.000401017,
2470.427820248, 1.000380205,
2470.448252708, 1.000434421,
2470.468685068, 1.000388636,
2470.489117528, 1.000347014,
2470.509549786, 1.000460646,
2470.529982145, 1.000192083,
2470.550414603, 1.000244408,
2470.570846860, 1.000266298,
2470.591279217, 1.000086999,
2470.611711673, 1.000117407,
2470.652576284, 1.000396107,
2470.673008739, 1.000345986,
2470.693441093, 1.000410679,
2470.713873347, 1.000402181,
2470.734305800, 1.000304675,
2470.754738152, 1.000446495,
2470.775170404, 1.000204540,
2470.795602856, 1.000308880,
2470.816035206, 1.000370658,
2470.836467457, 1.000346013,
2470.856899907, 1.000323715,
2470.897764705, 1.000412454,
2470.918196954, 1.000356619,
2470.938629301, 1.000320882,
2470.959061748, 1.000392820,
2470.979493995, 1.000320307,
2470.999926342, 1.000474946,
2471.020358787, 1.000305505,
2471.040791032, 1.000365092,
2471.061223377, 1.000481803,
2471.081655721, 1.000316311,
2471.102088065, 1.000272080,
2471.142952750, 1.000472381,
2471.163385092, 1.000299524,
2471.183817433, 1.000311284,
2471.204249874, 1.000337815,
2471.224682115, 1.000272072,
2471.245114455, 1.000319827,
2471.265546894, 1.000342712,
2471.285979133, 1.000352940,
2471.306411471, 1.000246114,
2471.326843909, 1.000288068,
2471.347276146, 1.000272358,
2471.367708583, 1.000385298,
2471.388140919, 1.000304560,
2471.408573154, 1.000326571,
2471.429005590, 1.000356915,
2471.449437924, 1.000293752,
2471.469870158, 1.000309090,
2471.490302592, 1.000293092,
2471.510734925, 1.000383642,
2471.531167258, 1.000314972,
2471.551599589, 1.000304816,
2471.572031921, 1.000390037,
2471.592464252, 1.000289683,
2471.633328912, 1.000253314,
2471.653761241, 1.000277085,
2471.674193670, 1.000294286,
2471.694625898, 1.000286473,
2471.715058226, 1.000312403,
