   MJD (day)      ,RV(m/s)  ,Err(m/s),  Instrument
   56945.29554    , -3.6    ,   1.4  ,       TOU
   56947.29174    , -2.2    ,   1.4  ,       TOU
   56948.34443    ,  3.1    ,   1.4  ,       TOU
   56950.32858    ,  0.3    ,   2.2  ,       TOU
   56951.36162    , -4.4    ,   1.5  ,       TOU
   56952.32579    , -3.2    ,   1.3  ,       TOU
   56953.32188    , -5.7    ,   1.2  ,       TOU
   56954.32684    , -7.9    ,   1.2  ,       TOU
   56958.30646    , -2.1    ,   1.6  ,       TOU
   56959.32328    , -3.4    ,   1.6  ,       TOU
   56960.30294    , -2.8    ,   1.5  ,       TOU
   56966.28415    , -3.5    ,   1.5  ,       TOU
   56969.27967    , -2.7    ,   2.0  ,       TOU
   56970.27500    , -2.6    ,   1.7  ,       TOU
   56971.31261    , -2.4    ,   1.5  ,       TOU
   56972.26841    ,  1.2    ,   1.6  ,       TOU
   56975.26269    , -0.8    ,   1.6  ,       TOU
   56977.25913    ,  8.2    ,   1.9  ,       TOU
   56978.25921    ,  2.2    ,   1.6  ,       TOU
   56979.25894    ,  4.3    ,   1.7  ,       TOU
   56980.37984    ,  2.7    ,   1.6  ,       TOU
   56981.24778    ,  3.5    ,   1.7  ,       TOU
   56982.30965    ,  3.3    ,   1.6  ,       TOU
   56984.24060    ,  3.1    ,   1.6  ,       TOU
   56985.34707    ,  2.0    ,   1.8  ,       TOU
   56987.25198    ,  3.5    ,   1.1  ,       TOU
   56988.22573    ,  1.3    ,   1.5  ,       TOU
   56989.22217    ,  2.5    ,   1.7  ,       TOU
   56990.21987    ,  3.1    ,   1.7  ,       TOU
   56991.21981    ,  0.9    ,   1.7  ,       TOU
   56992.29443    ,  1.1    ,   1.8  ,       TOU
   56998.21861    , -1.3    ,   1.7  ,       TOU
   57002.23779    , -7.2    ,   1.7  ,       TOU
   57003.31031    , -2.7    ,   1.8  ,       TOU
   57011.27839    ,  2.2    ,   1.7  ,       TOU
   57014.27260    ,  3.7    ,   1.7  ,       TOU
   57020.24725    ,  5.3    ,   1.8  ,       TOU
   57021.27243    ,  4.1    ,   1.7  ,       TOU
   57026.24106    ,  3.7    ,   1.7  ,       TOU
   57027.25753    ,  3.8    ,   1.6  ,       TOU
   57028.25715    ,  2.7    ,   1.6  ,       TOU
   57029.27307    ,  1.9    ,   1.6  ,       TOU
   57037.21102    ,  0.8    ,   1.3  ,       TOU
   57039.22449    , -8.9    ,   1.3  ,       TOU
   57040.19262    , -4.4    ,   1.3  ,       TOU
   57041.17803    , -0.4    ,   1.3  ,       TOU
   57043.20783    , -3.2    ,   1.6  ,       TOU
   57044.18265    , -1.3    ,   1.6  ,       TOU
   57045.20699    ,  0.0    ,   1.3  ,       TOU
   57056.18214    ,  1.8    ,   1.2  ,       TOU
   57057.17890    ,  4.0    ,   1.3  ,       TOU
   57058.17859    ,  1.3    ,   1.4  ,       TOU
   57059.12909    ,  2.4    ,   1.4  ,       TOU
   57060.17028    ,  1.7    ,   1.4  ,       TOU
   57061.12708    , -0.4    ,   1.5  ,       TOU
   57062.12367    ,  3.5    ,   1.6  ,       TOU
   57063.12093    ,  4.5    ,   1.6  ,       TOU
   57064.12063    ,  2.8    ,   1.6  ,       TOU
   57065.11789    ,  4.2    ,   1.5  ,       TOU
   57071.15990    , -4.1    ,   1.5  ,       TOU
   57077.12127    , -2.8    ,   1.7  ,       TOU
   57078.12123    , -3.5    ,   1.8  ,       TOU
   57079.11865    , -4.3    ,   1.8  ,       TOU
   57080.11808    , -6.0    ,   1.8  ,       TOU
   57081.12330    , -6.6    ,   1.5  ,       TOU
   57083.11672    , -7.1    ,   1.8  ,       TOU
   57309.38729    , -2.9    ,   1.7  ,       TOU
   57318.34434    , -0.6    ,   1.6  ,       TOU
   57319.33590    ,  0.9    ,   1.6  ,       TOU
   57320.34878    , -0.8    ,   1.6  ,       TOU
   57321.43659    ,  0.7    ,   1.5  ,       TOU
   57322.33623    ,  0.3    ,   1.5  ,       TOU
   57326.46629    ,  4.6    ,   1.5  ,       TOU
   57327.31650    ,  4.2    ,   1.6  ,       TOU
   57329.31716    ,  0.8    ,   1.6  ,       TOU
   57332.29581    ,  1.1    ,   1.6  ,       TOU
   57333.28539    ,  2.7    ,   1.5  ,       TOU
   57334.29104    ,  0.8    ,   1.5  ,       TOU
   57335.28875    , -2.5    ,   1.7  ,       TOU
   57336.28918    , -1.5    ,   1.6  ,       TOU
   57337.28547    , -4.7    ,   1.7  ,       TOU
   57338.32876    , -3.1    ,   1.7  ,       TOU
   57339.37219    , -4.2    ,   1.7  ,       TOU
   57340.28100    , -5.8    ,   1.7  ,       TOU
   57344.25147    , -4.5    ,   1.7  ,       TOU
   57345.28697    , -2.1    ,   1.8  ,       TOU
   57346.26093    , -3.5    ,   1.5  ,       TOU
   57347.27432    , -2.0    ,   1.4  ,       TOU
   57348.27986    , -3.1    ,   1.4  ,       TOU
   57350.26373    , -2.5    ,   1.5  ,       TOU
   57351.30134    , -1.9    ,   1.9  ,       TOU
   57354.25544    , -2.5    ,   2.0  ,       TOU
   57355.25520    , -3.8    ,   1.5  ,       TOU
   57356.26534    , -1.7    ,   1.8  ,       TOU
   57357.24665    , -2.8    ,   1.7  ,       TOU
   57358.28677    ,  1.7    ,   1.7  ,       TOU
   57359.29854    , -0.1    ,   1.7  ,       TOU
   57359.30417    ,  0.5    ,   1.8  ,       TOU
   57360.21094    , -0.5    ,   1.8  ,       TOU
   57362.20699    , -1.5    ,   1.8  ,       TOU
   57364.20303    ,  2.0    ,   1.8  ,       TOU
   57700.39560    ,  6.3    ,   1.7  ,       TOU
   57702.24310    ,  5.5    ,   1.6  ,       TOU
   57702.36630    ,  5.2    ,   1.6  ,       TOU
   57702.44560    ,  4.0    ,   1.6  ,       TOU
   57703.39120    ,  2.9    ,   1.7  ,       TOU
   57704.36590    ,  3.1    ,   1.7  ,       TOU
   57705.35910    ,  2.3    ,   1.7  ,       TOU
   57705.45240    ,  2.2    ,   1.6  ,       TOU
   57710.27730    ,  0.4    ,   1.6  ,       TOU
   57711.27390    ,  1.1    ,   1.5  ,       TOU
   57711.35450    , -1.1    ,   1.5  ,       TOU
   57712.42580    ,  1.5    ,   1.7  ,       TOU
   57717.34460    , -6.8    ,   1.7  ,       TOU
   57718.34290    ,  0.6    ,   1.7  ,       TOU
   57723.27270    , -1.7    ,   2.0  ,       TOU
   57723.32720    ,  4.6    ,   1.5  ,       TOU
   57724.18060    , -4.3    ,   1.6  ,       TOU
   57726.28970    , -4.0    ,   1.6  ,       TOU
   57726.32100    , -5.2    ,   1.9  ,       TOU
   57727.17230    ,  3.0    ,   1.6  ,       TOU
   57727.24070    , -1.9    ,   1.6  ,       TOU
   57727.32850    , -3.0    ,   1.6  ,       TOU
   57728.18030    , -2.8    ,   1.8  ,       TOU
   57728.29210    , -4.1    ,   1.7  ,       TOU
   57728.32580    ,  0.1    ,   1.7  ,       TOU
   57731.18090    , -1.0    ,   1.8  ,       TOU
   57731.27290    , -3.1    ,   1.8  ,       TOU
   57731.34190    ,  0.2    ,   1.9  ,       TOU
   57732.32940    , -0.4    ,   1.9  ,       TOU
   57736.22740    ,  6.9    ,   2.1  ,       TOU
   57737.25020    ,  4.0    ,   2.0  ,       TOU
   57738.28040    ,  3.4    ,   2.0  ,       TOU
   52235.33300    ,  0.0    ,   1.3  ,      Keck
   52236.35549    , -0.4    ,   1.4  ,      Keck
   52237.39810    ,  3.5    ,   1.3  ,      Keck
   52307.23757    , -1.5    ,   1.5  ,      Keck
   52536.49956    , -0.4    ,   1.5  ,      Keck
   52601.49297    , -3.0    ,   1.3  ,      Keck
   52855.63402    ,  2.8    ,   1.5  ,      Keck
   52855.63536    , -2.3    ,   1.4  ,      Keck
   53239.62840    , -0.4    ,   1.3  ,      Keck
   53302.45245    ,  2.7    ,   1.2  ,      Keck
   53302.45311    ,  0.2    ,   1.3  ,      Keck
   53339.46462    , -3.0    ,   1.0  ,      Keck
   53339.46542    , -3.1    ,   1.1  ,      Keck
   53339.46609    , -3.1    ,   1.1  ,      Keck
   53368.46706    , -2.8    ,   1.1  ,      Keck
   53368.46769    , -0.1    ,   1.0  ,      Keck
   53368.46831    , -1.0    ,   1.2  ,      Keck
   53426.30457    , -2.8    ,   1.0  ,      Keck
   53426.30521    , -5.1    ,   0.9  ,      Keck
   53426.30595    , -2.7    ,   0.9  ,      Keck
   53692.43450    , -4.4    ,   1.0  ,      Keck
   53692.43535    , -5.7    ,   1.1  ,      Keck
   53692.43620    , -4.1    ,   1.0  ,      Keck
   53692.43765    , -3.4    ,   1.0  ,      Keck
   53692.43831    , -4.4    ,   1.1  ,      Keck
   53692.54310    , -2.8    ,   0.9  ,      Keck
   53692.54385    , -2.9    ,   1.0  ,      Keck
   53692.54448    , -2.2    ,   1.0  ,      Keck
   53693.55481    , -1.8    ,   1.0  ,      Keck
   53693.55543    , -5.3    ,   1.1  ,      Keck
   53693.55607    , -2.9    ,   1.0  ,      Keck
   53694.44654    , -2.2    ,   1.2  ,      Keck
   53694.44706    , -2.8    ,   1.0  ,      Keck
   53694.44760    , -4.9    ,   1.1  ,      Keck
   53694.45230    , -4.2    ,   1.0  ,      Keck
   53694.45288    , -4.5    ,   1.0  ,      Keck
   53694.45348    , -3.1    ,   1.0  ,      Keck
   53695.31689    , -1.9    ,   1.0  ,      Keck
   53695.31749    , -2.6    ,   1.1  ,      Keck
   53695.31809    , -2.1    ,   1.0  ,      Keck
   53696.40799    , -4.9    ,   1.1  ,      Keck
   53696.40860    , -3.3    ,   1.1  ,      Keck
   53696.40923    , -1.4    ,   1.0  ,      Keck
   53724.43427    , -2.8    ,   1.0  ,      Keck
   53724.43490    , -2.2    ,   1.1  ,      Keck
   53724.43553    , -2.6    ,   1.2  ,      Keck
   53724.43616    , -1.7    ,   1.1  ,      Keck
   53724.43678    , -1.8    ,   1.0  ,      Keck
   54396.39745    ,-16.0    ,   1.6  ,      Keck
   54397.51354    ,  1.3    ,   1.1  ,      Keck
   54399.46904    ,  0.2    ,   1.3  ,      Keck
   54399.46973    ,  0.0    ,   1.2  ,      Keck
   54429.45297    ,  2.3    ,   1.2  ,      Keck
   54453.34272    , -1.8    ,   2.8  ,      Keck
   54453.34721    , -0.4    ,   1.2  ,      Keck
   54454.36238    ,  2.6    ,   1.3  ,      Keck
   54454.36311    ,  0.8    ,   1.2  ,      Keck
   54455.52066    , -1.1    ,   1.3  ,      Keck
   54458.53418    , -2.1    ,   1.7  ,      Keck
   54460.31701    ,  0.6    ,   1.5  ,      Keck
   54461.35278    , -4.9    ,   1.4  ,      Keck
   54461.35483    ,  2.4    ,   1.4  ,      Keck
   54490.31656    ,  0.3    ,   1.1  ,      Keck
   54491.33772    ,  1.4    ,   1.0  ,      Keck
   54544.29929    , -3.9    ,   1.3  ,      Keck
