t rv rv_err
2458191.743561 17.1 10.2
2458192.6971127 -6.3 10
2458193.6105164 -16.4 10.7
2458195.6906828 -5.5 7.8
2458196.6478441 17.5 11.3
2458197.6253097 5.5 10
2458198.6787464 -10.2 6.1
2458199.6916163 2.3 6.6
2458200.6584463 2.7 14.5
2458201.6498037 -7.1 8.7
2458206.656833 8 6.9
2458207.6898326 -2 5.4
2458208.7247232 17.6 12.3
2458210.6740043 -10.2 5.6
2458211.6592449 -0.7 6.5
2458212.6685059 2.3 5.8
2458213.6194334 -13.7 7.6
2458214.6592011 0 7.6
2458215.6879998 11.3 7.7
2458216.6760735 3.9 5.2
2458217.6839962 9.6 5.4
2458218.6546216 0.6 5.2
2458219.6279725 17.9 9.3
2458220.6655728 8.2 7.2
2458221.6995569 17.2 13.6
2458222.665492 -1.9 4.9
2458223.6464583 -6.3 6.1
2458224.6242648 -1 7.6
2458226.6720729 6.6 6
2458227.6239766 -5.3 7.7
2458228.6675125 -15.3 8.4
2458238.631235 -11.2 7.9
2458241.6529685 -0.2 9.7
2458242.6556871 -5.4 5.9
2458243.6562589 -1.8 4.5
2458244.6603199 0.5 5.4
2458245.658694 2.5 10.9
2458246.6586299 -11.7 5.4
2458247.6576896 15.8 5.5
2458248.6596848 6.6 7.2
