#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-04T13:30:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5cf6720b4e12	
#INFO	-out.max=100	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=100
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/606/A107&tab:{J/A+A/606/A107/rv}&key:source=J/A+A/606/A107/rv&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/606/A107/rv
#-order=I
#-out=Star
#-out=BJD
#-out=RV
#-out=e_RV
#-out=Sindex
#-out=e_Sindex
#-out=logR'HK
#-out=e_logR'HK
#-out=FWHM
#-out=BIS
#

#RESOURCE=yCat_36060107
#Name: J/A+A/606/A107
#Title: K2/HARPS measurements for 8 stars (Oshagh+, 2017)
#Table	J_A_A_606_A107_rv:
#Name: J/A+A/606/A107/rv
#Title: Radial velocity, BIS, FWHM, S-index, and logR'HK
#Column	Star	(A9)	Star name	[ucd=meta.id;meta.main]
#Column	BJD	(F12.6)	Baricentric Julian date (BJD-2400000)	[ucd=time.epoch]
#Column	RV	(F9.5)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.5)	Uncertainty in Radial velocity	[ucd=stat.error]
#Column	Sindex	(F9.6)	Mont Wilson S index	[ucd=spect.index]
#Column	e_Sindex	(F9.6)	Error on Mont Wilson S index	[ucd=stat.error]
#Column	logR'HK	(F7.4)	Stellar activity HK index	[ucd=phot.flux;arith.ratio]
#Column	e_logR'HK	(F7.4)	Error on Stellar activity HK index	[ucd=stat.error]
#Column	FWHM	(F8.5)	FWHM of the cross-correlation function	[ucd=phys.angSize]
#Column	BIS	(F8.5)	Bisector span of the cross-correlation	[ucd=phys.veloc]
Star|BJD|RV|e_RV|Sindex|e_Sindex|logR'HK|e_logR'HK|FWHM|BIS
 |d|km/s|km/s| | |[-]|[-]|km/s|km/s
---------|------------|---------|--------|---------|---------|-------|-------|--------|--------
HD 173427|57300.512508| -8.25309| 0.00527| 0.360848| 0.001258|-4.3278| 0.0020|16.44497|-1.50837
HD 173427|57301.557960| -7.90268| 0.01057| 0.362277| 0.003650|-4.3255| 0.0059|15.47940|-1.48376
HD 173427|57303.547949| -7.92090| 0.00726| 0.369308| 0.002254|-4.3143| 0.0035|15.39090|-1.24747
HD 173427|57306.532839| -8.11972| 0.00735| 0.357208| 0.002040|-4.3337| 0.0033|16.69475|-1.48881
HD 173427|57307.494284| -8.61264| 0.00402| 0.353065| 0.000751|-4.3406| 0.0013|19.59033|-1.97964
HD 173427|57311.514852| -8.11444| 0.00508| 0.355159| 0.001244|-4.3371| 0.0021|16.05230|-1.28635
HD 173427|57312.502072| -8.16720| 0.00588| 0.360981| 0.001409|-4.3276| 0.0023|17.14694|-1.58546
HD 177033|57300.553831|-46.51452| 0.00242| 0.348652| 0.016158|-4.6627| 0.0231| 6.24181| 0.03177
HD 177033|57303.557503|-46.51761| 0.00236| 0.378665| 0.014572|-4.6218| 0.0190| 6.23455| 0.02952
HD 177033|57312.531827|-46.51414| 0.00177| 0.371149| 0.010047|-4.6317| 0.0134| 6.24430| 0.03853
HD 177033|57321.543009|-46.52445| 0.00245| 0.327461| 0.015839|-4.6942| 0.0244| 6.21825| 0.03642
HD 181544|57300.564100| 35.90262| 0.00122| 0.230816| 0.000664|-4.6157| 0.0021| 9.75518| 0.04686
HD 181544|57301.578989| 35.90822| 0.00149| 0.230907| 0.000912|-4.6154| 0.0029| 9.75011| 0.05354
HD 181544|57303.567578| 35.92028| 0.00139| 0.231457| 0.000824|-4.6137| 0.0026| 9.76447| 0.04704
HD 181544|57307.504759| 35.92732| 0.00094| 0.231394| 0.000386|-4.6139| 0.0012| 9.75492| 0.04088
HD 181544|57311.526017| 35.94319| 0.00113| 0.232372| 0.000534|-4.6109| 0.0017| 9.75386| 0.04536
HD 181544|57312.522273| 35.94484| 0.00113| 0.232558| 0.000569|-4.6103| 0.0018| 9.75261| 0.04987
HD 181544|57325.512050| 35.99612| 0.00110| 0.232473| 0.000514|-4.6106| 0.0016| 9.75919| 0.04350
HD 183877|57300.573428|-42.47006| 0.00093| 0.170713| 0.000656|-4.9459| 0.0034| 6.65468|-0.01929
HD 183877|57301.588363|-42.46932| 0.00127| 0.171443| 0.001812|-4.9421| 0.0094| 6.65670|-0.02168
HD 183877|57303.577068|-42.47121| 0.00091| 0.171556| 0.000854|-4.9415| 0.0044| 6.65728|-0.02311
HD 183877|57307.514318|-42.47134| 0.00082| 0.169689| 0.000396|-4.9513| 0.0021| 6.65495|-0.01995
HD 183877|57312.512735|-42.47266| 0.00088| 0.168990| 0.000571|-4.9550| 0.0031| 6.64950|-0.02049
HD 183877|57318.494380|-42.47226| 0.00087| 0.170203| 0.000479|-4.9485| 0.0025| 6.65244|-0.02142
HD 183877|57324.518773|-42.47050| 0.00088| 0.171398| 0.000459|-4.9423| 0.0024| 6.65573|-0.01952
HD 183877|57327.548994|-42.47569| 0.00099| 0.172534| 0.000832|-4.9364| 0.0043| 6.65387|-0.02162
HD 4256|57396.532536|  9.57775| 0.00085| 0.204200| 0.001659|-5.0543| 0.0040| 6.22939| 0.02292
HD 4256|57400.553246|  9.57812| 0.00101| 0.192709| 0.003460|-5.0826| 0.0088| 6.22723| 0.02361
HD 4256|57413.525924|  9.57579| 0.00102| 0.186508| 0.003671|-5.0987| 0.0097| 6.21997| 0.01658
HD 4256|57417.534843|  9.57767| 0.00087| 0.196372| 0.002198|-5.0734| 0.0055| 6.22745| 0.02239
HD 4628|57395.542324|-10.08208| 0.00078| 0.199824| 0.000630|-4.9475| 0.0018| 5.90937| 0.02362
HD 4628|57400.533767|-10.07803| 0.00077| 0.204163| 0.000473|-4.9353| 0.0013| 5.91293| 0.02402
HD 4628|57412.526534|-10.07995| 0.00081| 0.196114| 0.000765|-4.9582| 0.0022| 5.91250| 0.02182
HD 4628|57412.530873|-10.07960| 0.00082| 0.196759| 0.000816|-4.9563| 0.0024| 5.91079| 0.02327
HD 4628|57416.531902|-10.07717| 0.00076| 0.198661| 0.000501|-4.9508| 0.0014| 5.91717| 0.02399
HD 4628|57417.524543|-10.07942| 0.00076| 0.198854| 0.000423|-4.9503| 0.0012| 5.91642| 0.02430
HD 6101|57395.552946| 20.37454| 0.00125| 0.428970| 0.004598|-4.7399| 0.0049| 6.36309| 0.10744
HD 6101|57399.538354| 20.31452| 0.00089| 0.395038| 0.002195|-4.7773| 0.0025| 6.28620| 0.08461
HD 6101|57415.539585| 20.34106| 0.00109| 0.423802| 0.004065|-4.7454| 0.0043| 6.31526| 0.08624
HD 6101|57418.525718| 20.33615| 0.00099| 0.411297| 0.003264|-4.7590| 0.0036| 6.30642| 0.08729
HD 6480|57395.562439| -7.10811| 0.00264| 0.165064| 0.000879|-4.8690| 0.0052|12.32635| 0.03285
HD 6480|57397.531812| -7.10763| 0.00156| 0.167614| 0.000431|-4.8543| 0.0024|12.31745| 0.03769
HD 6480|57398.547775| -7.11246| 0.00158| 0.166790| 0.000447|-4.8590| 0.0026|12.32096| 0.03854
HD 6480|57400.564551| -7.10728| 0.00404| 0.162640| 0.002032|-4.8835| 0.0123|12.33389| 0.03566
HD 6480|57410.540748| -7.10590| 0.00183| 0.167687| 0.000596|-4.8538| 0.0034|12.31339| 0.03097
HD 6480|57412.538656| -7.10152| 0.00240| 0.170368| 0.000814|-4.8389| 0.0045|12.31304| 0.03015
HD 6480|57414.521486| -7.11754| 0.00210| 0.168548| 0.000670|-4.8490| 0.0038|12.33436| 0.04514
HD 6480|57415.528532| -7.10365| 0.00172| 0.168503| 0.000541|-4.8492| 0.0030|12.30976| 0.02022
HD 6480|57416.542371| -7.09858| 0.00189| 0.167816| 0.000642|-4.8531| 0.0036|12.34445| 0.02032
HD 6480|57417.545483| -7.09916| 0.00161| 0.169271| 0.000566|-4.8449| 0.0031|12.33084| 0.01989
HD 6480|57418.534789| -7.10088| 0.00189| 0.169717| 0.000642|-4.8425| 0.0035|12.33970| 0.02553
HD 6480|57421.527523| -7.10788| 0.00178| 0.164809| 0.000602|-4.8705| 0.0036|12.33379| 0.03997

