 MJD (day),     S_index,     Source
39787.7998,0.249,      MW
39789.7998,0.251,      MW
39832.7998,0.227,      MW
39834.7998,0.238,      MW
40106.8,0.228,      MW
40140.8,0.224,      MW
40168.8,0.249,      MW
40169.8,0.237,      MW
40201.8,0.245,      MW
40223.8,0.228,      MW
40224.8,0.235,      MW
40252.8,0.241,      MW
40253.8,0.236,      MW
40254.8,0.23,      MW
40255.8,0.23,      MW
40495.8,0.221,      MW
40497.8,0.229,      MW
40498.8,0.227,      MW
40499.8,0.227,      MW
40519.8,0.23,      MW
40520.8,0.231,      MW
40558.8,0.228,      MW
40572.8,0.22,      MW
40573.8,0.226,      MW
40574.8,0.226,      MW
40610.8,0.23,      MW
40611.8,0.246,      MW
40612.8,0.231,      MW
40613.8,0.236,      MW
40844.8,0.218,      MW
40845.8,0.216,      MW
40881.8,0.212,      MW
40910.8,0.211,      MW
40911.8,0.217,      MW
40912.8,0.213,      MW
40935.8,0.196,      MW
40937.8,0.2,      MW
40960.8,0.2,      MW
40961.8,0.195,      MW
41200.8,0.196,      MW
41201.8,0.194,      MW
41249.8,0.189,      MW
41250.8,0.195,      MW
41262.8,0.2,      MW
41263.8,0.188,      MW
41264.8,0.186,      MW
41285.8,0.184,      MW
41286.8,0.19,      MW
41314.8,0.191,      MW
41349.8,0.183,      MW
41350.8,0.187,      MW
41589.8,0.19,      MW
41614.8,0.187,      MW
41615.8,0.193,      MW
41618.8,0.192,      MW
41641.8,0.195,      MW
41643.8,0.19,      MW
41644.8,0.2,      MW
41669.8,0.192,      MW
41671.8,0.183,      MW
41702.8,0.191,      MW
41703.8,0.184,      MW
41704.8,0.187,      MW
41942.8,0.196,      MW
41943.8,0.191,      MW
41944.8,0.188,      MW
41945.8,0.192,      MW
41959.8,0.179,      MW
41960.8,0.186,      MW
41961.8,0.178,      MW
42015.8,0.199,      MW
42016.8,0.206,      MW
42046.8,0.187,      MW
42061.8,0.188,      MW
42085.8,0.189,      MW
42086.8,0.187,      MW
42087.8,0.194,      MW
42282.8,0.19,      MW
42283.8,0.193,      MW
42284.8,0.189,      MW
42285.8,0.2,      MW
42329.8,0.19,      MW
42330.8,0.193,      MW
42331.8,0.196,      MW
42349.8,0.182,      MW
42350.8,0.184,      MW
42380.8,0.187,      MW
42382.8,0.185,      MW
42431.8,0.184,      MW
42432.8,0.185,      MW
42438.8,0.18,      MW
42440.8,0.194,      MW
42645.8,0.21,      MW
42646.8,0.212,      MW
42647.8,0.216,      MW
42675.8,0.203,      MW
42676.8,0.201,      MW
42677.8,0.199,      MW
42678.8,0.197,      MW
42702.8,0.192,      MW
42703.8,0.198,      MW
42731.8,0.196,      MW
42732.8,0.189,      MW
42763.8,0.194,      MW
42764.8,0.194,      MW
42765.8,0.198,      MW
42792.8,0.193,      MW
42793.8,0.188,      MW
42794.8,0.196,      MW
42820.8,0.197,      MW
42821.8,0.197,      MW
43024.8,0.21,      MW
43060.8,0.2,      MW
43061.8,0.197,      MW
43062.8,0.195,      MW
43063.8,0.196,      MW
43110.8,0.215,      MW
43111.8,0.214,      MW
43112.8,0.217,      MW
43113.8,0.209,      MW
43146.8,0.207,      MW
43172.8,0.223,      MW
43173.8,0.229,      MW
43174.8,0.225,      MW
43175.8,0.218,      MW
43176.8,0.23,      MW
43476.8,0.223,      MW
43477.8,0.208,      MW
43542.8,0.235,      MW
43780.8,0.206,      MW
43824.8,0.219,      MW
43827.8,0.214,      MW
43892.8,0.22,      MW
44172.8,0.205,      MW
44190.8,0.227,      MW
44200.8,0.222,      MW
44224.8,0.215,      MW
44260.8,0.205,      MW
44278.8,0.217,      MW
44482.994,0.195,      MW
44482.994,0.199,      MW
44482.995,0.198,      MW
